Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
283110,Asamayama,21081,Confirmed Eruption,,1,,,2015,,6,,16,,Historical Observations,,2015,,6,,16,,36.406,138.523
283110,Asamayama,17812,Confirmed Eruption,,2,,,2009,,1,,21,,Historical Observations,,2009,,5,,2,,36.406,138.523
283110,Asamayama,17811,Confirmed Eruption,,1,,,2008,,8,,10,,Historical Observations,,2008,,8,,14,,36.406,138.523
283110,Asamayama,17810,Confirmed Eruption,,2,,,2004,,9,,1,,Historical Observations,,2004,,12,,9,,36.406,138.523
283110,Asamayama,17809,Confirmed Eruption,,1,,,2003,,2,,6,,Historical Observations,,2003,,4,,18,,36.406,138.523
283110,Asamayama,17808,Confirmed Eruption,,2,,,1990,,7,,20,,Historical Observations,,1990,,7,,20,,36.406,138.523
283110,Asamayama,17807,Confirmed Eruption,,2,,,1983,,4,,8,,Historical Observations,,1983,,4,,8,,36.406,138.523
283110,Asamayama,17806,Confirmed Eruption,,1,,,1982,,10,,2,,Historical Observations,,1982,,10,,2,,36.406,138.523
283110,Asamayama,17805,Confirmed Eruption,,2,,,1982,,4,,26,,Historical Observations,,1982,,4,,26,,36.406,138.523
283110,Asamayama,17804,Confirmed Eruption,,2,,,1973,,2,,1,,Historical Observations,,1973,,5,,24,,36.406,138.523
283110,Asamayama,17803,Confirmed Eruption,,2,,,1965,,5,,23,,Historical Observations,,1965,,5,,23,,36.406,138.523
283110,Asamayama,17802,Confirmed Eruption,,2,,,1961,,8,,18,,Historical Observations,,1961,,11,,16,,36.406,138.523
283110,Asamayama,17801,Confirmed Eruption,,2,,,1958,,10,,3,,Historical Observations,,1959,,8,,26,5,36.406,138.523
283110,Asamayama,17799,Confirmed Eruption,,3,,,1953,,12,,27,,Historical Observations,,1955,,8,,2,,36.406,138.523
283110,Asamayama,17798,Confirmed Eruption,,2,,,1952,,6,,7,,Historical Observations,,1952,,6,,14,,36.406,138.523
283110,Asamayama,17796,Confirmed Eruption,,1,,,1950,,9,,23,,Historical Observations,,1951,,6,,17,,36.406,138.523
