Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
300250,Bezymianny,19388,Confirmed Eruption,,3,?,,2010,,5,?,21,,Historical Observations,>,2017,,8,,4,,55.972,160.595
300250,Bezymianny,19387,Confirmed Eruption,,3,?,,2009,,12,,17,,Historical Observations,,2010,,2,?,16,,55.972,160.595
300250,Bezymianny,19386,Confirmed Eruption,,3,?,,2008,,7,,11,,Historical Observations,,2008,,8,?,23,,55.972,160.595
300250,Bezymianny,19385,Confirmed Eruption,,3,?,,2007,,5,?,10,,Historical Observations,,2007,,12,?,24,,55.972,160.595
300250,Bezymianny,19384,Confirmed Eruption,,3,,,2006,,4,<,16,15,Historical Observations,,2006,,12,?,29,,55.972,160.595
300250,Bezymianny,19383,Confirmed Eruption,,2,,,2005,,11,?,29,,Historical Observations,,2005,,12,>,1,,55.972,160.595
300250,Bezymianny,19382,Confirmed Eruption,,3,,,2004,,1,,14,,Historical Observations,,2005,,2,?,16,15,55.972,160.595
300250,Bezymianny,19381,Confirmed Eruption,,3,,,2003,,7,,26,,Historical Observations,,2003,,8,?,1,,55.972,160.595
300250,Bezymianny,19380,Confirmed Eruption,,2,,,2002,,12,,25,,Historical Observations,,2002,,12,?,28,,55.972,160.595
300250,Bezymianny,19379,Confirmed Eruption,,2,,,2001,,12,,10,,Historical Observations,,2002,,1,?,6,,55.972,160.595
300250,Bezymianny,19378,Confirmed Eruption,,3,,,2001,,7,?,23,,Historical Observations,,2001,,8,?,10,,55.972,160.595
300250,Bezymianny,19377,Confirmed Eruption,,2,,,2000,,7,,18,,Historical Observations,,2000,,11,>,4,,55.972,160.595
