Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
268060,Gamalama,22150,Confirmed Eruption,,1,,,2016,,8,,3,,Historical Observations,,2016,,8,,4,,0.8,127.33
268060,Gamalama,21087,Confirmed Eruption,,2,,,2015,,7,,16,,Historical Observations,,2015,,9,,8,,0.8,127.33
268060,Gamalama,20989,Confirmed Eruption,,2,,,2014,,12,,18,,Historical Observations,,2014,,12,,25,,0.8,127.33
268060,Gamalama,20766,Confirmed Eruption,Summit crater,1,,,2012,,9,,15,,Historical Observations,,2012,,9,,17,,0.8,127.33
268060,Gamalama,20765,Confirmed Eruption,,2,,,2011,,12,,5,,Historical Observations,,2011,,12,,23,,0.8,127.33
268060,Gamalama,16675,Confirmed Eruption,,2,,,2003,,7,,31,,Historical Observations,,2003,,10,,2,3,0.8,127.33
268060,Gamalama,16674,Confirmed Eruption,,2,?,,1996,,7,,2,182,Historical Observations,,,,,,,,0.8,127.33
268060,Gamalama,16673,Confirmed Eruption,,2,,,1994,,1,,16,15,Historical Observations,,1994,,10,>,15,,0.8,127.33
268060,Gamalama,16672,Confirmed Eruption,,2,,,1993,,5,,6,,Historical Observations,,1993,,5,,21,,0.8,127.33
268060,Gamalama,16670,Confirmed Eruption,,3,?,,1990,,4,,25,,Historical Observations,,1990,,4,,26,,0.8,127.33
268060,Gamalama,16669,Confirmed Eruption,,2,,,1988,,2,,12,,Historical Observations,,1988,,3,?,16,15,0.8,127.33
268060,Gamalama,16668,Confirmed Eruption,,3,,,1983,,8,,9,,Historical Observations,,1983,,8,,12,,0.8,127.33
268060,Gamalama,16667,Confirmed Eruption,,2,,,1980,,9,,4,,Historical Observations,,1980,,9,,23,,0.8,127.33
268060,Gamalama,16666,Confirmed Eruption,East flank,2,,,1962,,12,,31,,Historical Observations,,1963,,1,?,2,,0.8,127.33
268060,Gamalama,16665,Confirmed Eruption,,2,,,1938,,9,,8,,Historical Observations,,1938,,9,,8,,0.8,127.33
268060,Gamalama,16664,Confirmed Eruption,,2,,,1933,,11,,12,,Historical Observations,,,,,,,,0.8,127.33
268060,Gamalama,16663,Confirmed Eruption,,2,,,1932,,11,,10,,Historical Observations,,1932,,11,,13,,0.8,127.33
268060,Gamalama,16662,Confirmed Eruption,,2,,,1923,,4,,13,,Historical Observations,,1923,,5,,6,,0.8,127.33
268060,Gamalama,16661,Confirmed Eruption,,1,,,1918,,8,,0,,Historical Observations,,1918,,9,,4,,0.8,127.33
268060,Gamalama,16660,Confirmed Eruption,,1,,,1911,,9,,2,,Historical Observations,,1911,,9,,6,,0.8,127.33
268060,Gamalama,16659,Confirmed Eruption,,2,,,1907,,11,,17,,Historical Observations,,1907,,11,,20,,0.8,127.33
268060,Gamalama,16657,Confirmed Eruption,,2,,,1898,,5,,14,,Historical Observations,,1898,,5,?,28,,0.8,127.33
268060,Gamalama,16656,Confirmed Eruption,,1,,,1897,,9,,7,,Historical Observations,,1897,,9,,24,,0.8,127.33
268060,Gamalama,16654,Confirmed Eruption,,1,,,1895,,12,,19,,Historical Observations,,1895,,12,,19,,0.8,127.33
268060,Gamalama,16652,Confirmed Eruption,,2,,,1884,,5,,0,,Historical Observations,,1884,,5,,0,,0.8,127.33
268060,Gamalama,16651,Confirmed Eruption,,2,,,1871,,8,,7,,Historical Observations,,1871,,9,,25,,0.8,127.33
268060,Gamalama,16649,Confirmed Eruption,,2,,,1868,,11,,13,,Historical Observations,,1869,,2,,10,,0.8,127.33
268060,Gamalama,16648,Confirmed Eruption,,1,,,1868,,3,,13,,Historical Observations,,1868,,3,,13,,0.8,127.33
268060,Gamalama,16647,Confirmed Eruption,,2,,,1864,,12,,27,,Historical Observations,,1865,,1,,2,,0.8,127.33
