Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
341100,"Orizaba, Pico de",10581,Confirmed Eruption,,2,,,1846,,0,,0,,Historical Observations,,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10580,Confirmed Eruption,,2,,,1687,,0,,0,,Historical Observations,,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10579,Confirmed Eruption,,0,,,1613,,0,,0,,Historical Observations,,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10578,Confirmed Eruption,,2,,,1569,,0,,0,,Historical Observations,,1589,,0,,0,,19.03,-97.27
341100,"Orizaba, Pico de",10577,Confirmed Eruption,,2,,,1566,,0,,0,,Historical Observations,,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10576,Confirmed Eruption,,2,,,1545,,0,,0,,Historical Observations,?,1555,10,0,,0,,19.03,-97.27
341100,"Orizaba, Pico de",10573,Confirmed Eruption,,3,,,1260,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10542,Confirmed Eruption,,3,?,,1175,,0,,0,,Anthropology,,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10571,Confirmed Eruption,,3,,,220,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10570,Confirmed Eruption,,3,,,140,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10569,Confirmed Eruption,,3,,,90,40,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10568,Confirmed Eruption,,3,,,40,40,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10567,Confirmed Eruption,,3,,,-780,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10566,Confirmed Eruption,,3,,,-1500,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10565,Confirmed Eruption,,3,,,-2110,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10564,Confirmed Eruption,,4,,,-2300,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10563,Confirmed Eruption,,3,,,-2500,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10562,Confirmed Eruption,,3,,,-2780,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10561,Confirmed Eruption,,3,,,-4690,300,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10560,Confirmed Eruption,,3,,,-6220,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10559,Confirmed Eruption,,5,?,,-6710,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10558,Confirmed Eruption,,4,,,-7030,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
341100,"Orizaba, Pico de",10557,Confirmed Eruption,,,,,-7530,40,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
