Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
285050,Tokachidake,18661,Confirmed Eruption,1962-II Crater,1,?,,2004,,2,,25,,Historical Observations,,2004,,4,,19,,43.418,142.686
285050,Tokachidake,18660,Confirmed Eruption,1962 Crater,2,,,1988,,12,?,10,,Historical Observations,,1989,,5,,16,15,43.418,142.686
285050,Tokachidake,18659,Confirmed Eruption,East wall of 1962 crater,1,,,1985,,6,,19,,Historical Observations,,1985,,6,,22,,43.418,142.686
285050,Tokachidake,18658,Confirmed Eruption,South of Shin-funkako,3,,,1962,,6,,29,,Historical Observations,,1962,,9,,16,15,43.418,142.686
285050,Tokachidake,18657,Confirmed Eruption,NW of Kami-Horokamettoku-yama,1,,,1961,,8,,14,,Historical Observations,,1961,,8,,14,,43.418,142.686
285050,Tokachidake,18656,Confirmed Eruption,NE of Shin-funkako (Showa Crater),1,,,1959,,8,,15,5,Historical Observations,,1959,,11,,25,,43.418,142.686
285050,Tokachidake,18655,Confirmed Eruption,NE of Shin-funkako (Showa Crater),1,,,1958,,10,,4,,Historical Observations,,1958,,10,,4,,43.418,142.686
285050,Tokachidake,18653,Confirmed Eruption,NE of Shin-funkako (Showa Crater),1,,,1956,,6,,16,15,Historical Observations,,1956,,6,,16,15,43.418,142.686
285050,Tokachidake,18652,Confirmed Eruption,NE of Shin-funkako (Showa Crater),1,,,1954,,9,,16,15,Historical Observations,,1954,,9,,16,15,43.418,142.686
285050,Tokachidake,18651,Confirmed Eruption,NE of Shin-funkako (Showa Crater),,,,1952,,8,,17,,Historical Observations,,,,,,,,43.418,142.686
285050,Tokachidake,18650,Confirmed Eruption,,1,,,1931,,5,,16,,Historical Observations,,1931,,5,,16,,43.418,142.686
285050,Tokachidake,18649,Confirmed Eruption,Shin-funkako,1,,,1928,,12,,4,,Historical Observations,,1928,,12,,25,,43.418,142.686
285050,Tokachidake,18648,Confirmed Eruption,Shin-funkako,1,,,1928,,1,,0,,Historical Observations,,1928,,5,,23,,43.418,142.686
285050,Tokachidake,18647,Confirmed Eruption,Shin-funkako,3,,,1925,,11,,20,,Historical Observations,,1927,,9,,0,,43.418,142.686
285050,Tokachidake,18646,Confirmed Eruption,Maru-yama (Yunuma),2,,,1889,,0,,0,,Historical Observations,,,,,,,,43.418,142.686
285050,Tokachidake,18645,Confirmed Eruption,Lower part of Maru-yama?,2,,,1887,,6,,0,,Historical Observations,,,,,,,,43.418,142.686
285050,Tokachidake,18644,Confirmed Eruption,,2,,,1857,,0,,0,,Historical Observations,,,,,,,,43.418,142.686
285050,Tokachidake,18643,Confirmed Eruption,Maru-yama,2,?,,1570,100,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18642,Confirmed Eruption,,3,,?,1250,,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18641,Confirmed Eruption,,,,,1050,200,0,,0,,Tephrochronology,,,,,,,,43.418,142.686
285050,Tokachidake,18640,Confirmed Eruption,,,,,950,50,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18639,Confirmed Eruption,,,,,600,300,0,,0,,Tephrochronology,,,,,,,,43.418,142.686
285050,Tokachidake,18638,Confirmed Eruption,,,,,350,100,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18637,Confirmed Eruption,,,,,1,50,,,,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18636,Confirmed Eruption,Ground Crater,3,,?,-1350,,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18635,Confirmed Eruption,,,,,-1750,50,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
285050,Tokachidake,18634,Confirmed Eruption,,,,,-2650,200,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
