Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
300240,Tolbachik,20825,Confirmed Eruption,Tolbachinsky Dol,4,,,2012,,11,,27,,Historical Observations,,2013,,8,?,22,,55.832,160.326
300240,Tolbachik,19323,Confirmed Eruption,South flank (18 & 28 km from summit),4,+,,1975,,6,,28,,Historical Observations,,1976,,12,,10,,55.832,160.326
300240,Tolbachik,19321,Confirmed Eruption,,2,,,1970,,9,,16,15,Historical Observations,,1970,,12,,1,30,55.832,160.326
300240,Tolbachik,19320,Confirmed Eruption,,1,,,1970,,1,,16,15,Historical Observations,,1970,,4,,16,15,55.832,160.326
300240,Tolbachik,19319,Confirmed Eruption,,1,,,1968,,7,,2,182,Historical Observations,,1969,,7,,2,182,55.832,160.326
300240,Tolbachik,19318,Confirmed Eruption,,2,,,1967,,10,,16,15,Historical Observations,,1967,,11,,16,15,55.832,160.326
300240,Tolbachik,19317,Confirmed Eruption,,2,,,1967,,3,,16,15,Historical Observations,,1967,,5,,16,15,55.832,160.326
300240,Tolbachik,19316,Confirmed Eruption,,2,,,1966,,4,,15,45,Historical Observations,,,,,,,,55.832,160.326
300240,Tolbachik,19315,Confirmed Eruption,,1,,,1965,,7,,2,182,Historical Observations,,,,,,,,55.832,160.326
300240,Tolbachik,19314,Confirmed Eruption,,2,,,1964,,3,,16,15,Historical Observations,,1964,,4,>,24,,55.832,160.326
300240,Tolbachik,19313,Confirmed Eruption,,1,,,1962,,8,,16,15,Historical Observations,,1963,,7,,2,182,55.832,160.326
300240,Tolbachik,19312,Confirmed Eruption,,2,,,1961,,3,,24,,Historical Observations,,1962,,2,>,16,,55.832,160.326
300240,Tolbachik,19311,Confirmed Eruption,,2,,,1959,,7,,2,182,Historical Observations,,1960,,7,,2,182,55.832,160.326
300240,Tolbachik,19310,Confirmed Eruption,,2,?,,1958,,7,<,13,,Historical Observations,,,,,,,,55.832,160.326
300240,Tolbachik,19309,Confirmed Eruption,,2,,,1956,,9,,28,,Historical Observations,,1957,,11,,28,,55.832,160.326
