Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
352080,Tungurahua,20999,Confirmed Eruption,,3,,,2015,,4,,6,,Historical Observations,,2016,,3,,15,,-1.467,-78.442
352080,Tungurahua,22215,Confirmed Eruption,,,,,2011,,11,,27,,Historical Observations,,2014,,12,,15,,-1.467,-78.442
352080,Tungurahua,22214,Confirmed Eruption,,2,,,2011,,4,,20,,Historical Observations,,2011,,5,,26,,-1.467,-78.442
352080,Tungurahua,11645,Confirmed Eruption,,3,?,,2010,,11,,22,,Historical Observations,,2011,,1,,2,,-1.467,-78.442
352080,Tungurahua,11644,Confirmed Eruption,,3,,,2010,,1,,1,,Historical Observations,,2010,,7,,29,,-1.467,-78.442
352080,Tungurahua,11643,Confirmed Eruption,,3,,,1999,,10,,5,,Historical Observations,,2009,,7,,8,7,-1.467,-78.442
352080,Tungurahua,11640,Confirmed Eruption,,4,,,1916,,3,,3,,Historical Observations,,1925,,12,,1,30,-1.467,-78.442
352080,Tungurahua,11638,Confirmed Eruption,,4,,,1886,,1,,11,,Historical Observations,,1888,1,0,,0,,-1.467,-78.442
352080,Tungurahua,11637,Confirmed Eruption,,2,?,,1885,,1,?,0,,Historical Observations,,1885,,10,,16,,-1.467,-78.442
352080,Tungurahua,11636,Confirmed Eruption,,2,?,,1857,,9,?,10,,Historical Observations,,,,,,,,-1.467,-78.442
352080,Tungurahua,11633,Confirmed Eruption,,2,,,1776,,1,,3,,Historical Observations,,,,,,,,-1.467,-78.442
352080,Tungurahua,11632,Confirmed Eruption,,3,,,1773,,2,,4,,Historical Observations,,1773,,7,?,0,,-1.467,-78.442
352080,Tungurahua,11627,Confirmed Eruption,,2,,,1644,,0,,0,,Historical Observations,?,1646,,0,,0,,-1.467,-78.442
352080,Tungurahua,11626,Confirmed Eruption,,3,?,,1640,,0,,0,,Historical Observations,,1641,,0,,0,,-1.467,-78.442
352080,Tungurahua,11625,Confirmed Eruption,,2,,,1557,,0,,0,,Historical Observations,,,,,,,,-1.467,-78.442
352080,Tungurahua,11624,Confirmed Eruption,,3,?,,1350,50,0,,0,,Radiocarbon (corrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11623,Confirmed Eruption,,,,,1250,50,0,,0,,Radiocarbon (corrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11622,Confirmed Eruption,,,,,1030,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11621,Confirmed Eruption,,,,?,800,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11620,Confirmed Eruption,,4,?,,730,200,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11619,Confirmed Eruption,,3,?,?,600,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11618,Confirmed Eruption,,,,,480,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11617,Confirmed Eruption,,3,?,?,350,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11616,Confirmed Eruption,,,,?,200,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11615,Confirmed Eruption,,3,?,?,100,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11614,Confirmed Eruption,,3,?,?,-50,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11613,Confirmed Eruption,,3,?,?,-100,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11612,Confirmed Eruption,,,,,-270,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11611,Confirmed Eruption,,3,?,?,-500,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11610,Confirmed Eruption,,5,,,-1010,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
352080,Tungurahua,11609,Confirmed Eruption,,4,,?,-7750,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-1.467,-78.442
