Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
357120,Villarrica,20996,Confirmed Eruption,,1,,,2014,,12,,2,7,Historical Observations,>,2017,,4,,18,,-39.42,-71.93
357120,Villarrica,20838,Confirmed Eruption,,1,,,2013,,7,,25,,Historical Observations,,2013,,7,?,29,,-39.42,-71.93
357120,Villarrica,12184,Confirmed Eruption,,1,,,2009,,11,,22,,Historical Observations,,2012,,4,,20,,-39.42,-71.93
357120,Villarrica,12183,Confirmed Eruption,,1,,,2009,,1,,29,,Historical Observations,,2009,,3,?,24,,-39.42,-71.93
357120,Villarrica,12182,Confirmed Eruption,,1,,,2008,,10,,26,,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12181,Confirmed Eruption,,1,,,2004,,8,?,5,,Historical Observations,,2007,,12,?,24,,-39.42,-71.93
357120,Villarrica,12180,Confirmed Eruption,,1,,,2003,,5,?,23,,Historical Observations,,2004,,3,?,25,,-39.42,-71.93
357120,Villarrica,12179,Confirmed Eruption,,1,,,1998,,2,,24,4,Historical Observations,,2002,,6,?,16,15,-39.42,-71.93
357120,Villarrica,12178,Confirmed Eruption,,1,,,1996,,9,,14,,Historical Observations,,1997,,8,,16,15,-39.42,-71.93
357120,Villarrica,12174,Confirmed Eruption,,1,,,1996,,1,,16,15,Historical Observations,,,,,,,,-39.42,-71.93
357120,Villarrica,12173,Confirmed Eruption,,1,,,1995,,4,,15,5,Historical Observations,,1995,,6,>,2,,-39.42,-71.93
357120,Villarrica,12172,Confirmed Eruption,,1,,,1994,,9,,26,,Historical Observations,,1994,,12,,30,,-39.42,-71.93
357120,Villarrica,12171,Confirmed Eruption,,1,,,1992,,9,,11,,Historical Observations,,1992,,12,>,16,15,-39.42,-71.93
357120,Villarrica,12170,Confirmed Eruption,,2,,,1991,,8,,30,,Historical Observations,,1991,,9,,17,,-39.42,-71.93
357120,Villarrica,12169,Confirmed Eruption,,2,,,1984,,8,,11,,Historical Observations,,1985,,11,,18,,-39.42,-71.93
357120,Villarrica,12168,Confirmed Eruption,,1,,,1983,,10,,14,,Historical Observations,,1983,,10,,16,,-39.42,-71.93
357120,Villarrica,12167,Confirmed Eruption,,2,,,1980,,6,,20,,Historical Observations,,1980,,9,,24,,-39.42,-71.93
357120,Villarrica,12166,Confirmed Eruption,,1,,,1977,,1,,26,,Historical Observations,,1977,,1,,30,,-39.42,-71.93
357120,Villarrica,12165,Confirmed Eruption,"Summit, NE and SW flanks",2,,,1971,,10,,29,,Historical Observations,,1972,,2,,21,,-39.42,-71.93
357120,Villarrica,12164,Confirmed Eruption,,2,,,1964,,3,,2,,Historical Observations,,1964,,4,,21,,-39.42,-71.93
357120,Villarrica,12163,Confirmed Eruption,Summit and upper SW flank,3,?,,1963,,2,?,25,,Historical Observations,,1963,,9,>,21,,-39.42,-71.93
